Id,User,Text,Date,Request 
"1308052415128633344","Archanarajesh17","RT @jikookslibrary: and this is their latest ongoing fic. it's a modern day love story between photographer jk and doctor jm based in new y…","Mon Sep 21 16:36:12 CEST 2020","it works"
"1308052413241229314","DanaBak50247388","@Kam67658103 My son was/is an alcoholic. Hard liquor. Heavy duty. He quit, and the withdrawals weren't too bad. BUT, he went to the doctor first. She gave him a medication, in very small dosage of an anti-depressant. It helped him alot. Don't know how it works for all, but GO TO YOUR DOCTOR.","Mon Sep 21 16:36:12 CEST 2020","it works"
"1308052412654129153","Gold_Fox22","RT @SteveLaws19: Anyone who follows me work or know somebody who works at Primark in Canterbury?

Just got a lead, need it confirming.","Mon Sep 21 16:36:12 CEST 2020","it works"
"1308052403816738816","nicolascq23","RT @KateHydeNY: LIFEHACK: If you are in the middle of a harsh questioning and don’t know an answer just respond with “good morning.”  It wi…","Mon Sep 21 16:36:10 CEST 2020","it works"
"1308052403380465664","Jay_Knight13","Rumour is there is a new #apexlegends event in the works called Aftermarket. Talk is it might happen on October 13.","Mon Sep 21 16:36:10 CEST 2020","it works"
"1308052402059145216","donmgreen","RT @VJShordee444: Get to the polls and vote trump out. Make this a reality. Trump is a criminal. The People v. Donald J. Trump The criminal…","Mon Sep 21 16:36:09 CEST 2020","it works"
"1308052401748930560","Hes_Mac","RT @e38: Y’all want businesses to succeed but simultaneously to remain exclusive. That’s not how it works","Mon Sep 21 16:36:09 CEST 2020","it works"
"1308052401576837120","pnlp33","RT @jeongyeonpop: hello i was user @icyjeongy and i got suspended 💔💔 idk how it works but maybe rt to help me find my old mutuals if you ca…","Mon Sep 21 16:36:09 CEST 2020","it works"
"1308052401186889728","jpetazzo","RT @denibertovic: @jpetazzo I know there's like 2 camps when it comes to this topic: "run everything locally" and "run everything in the cl…","Mon Sep 21 16:36:09 CEST 2020","it works"
"1308052397277827077","benji4vols","@PeteButtigieg Yeah that’s not how it works, Buttplug","Mon Sep 21 16:36:08 CEST 2020","it works"
"1308052386745851904","jungkookcutiek1","Woah... like this twt
It works  #WearAMask","Mon Sep 21 16:36:06 CEST 2020","it works"
"1308052383914622976","AFC_John19","@afcKweku @CFCMasi It works lmao","Mon Sep 21 16:36:05 CEST 2020","it works"
"1308053432524091397","iAmaranth22","@UTDTrey Haland, Sancho and Hazard still exist","Mon Sep 21 16:40:15 CEST 2020","sancho"
"1308053372331753473","RyD98","RT @TheVillaVision: Lamptey, trent, wan bissaka, Aarons, saka, white, konsa, tomori, gomez, Phillips, Grealish, rice, foden, chukwemeka, gr…","Mon Sep 21 16:40:01 CEST 2020","sancho"
